STATION,NAME,DATE,AWND,DAPR,DASF,MDPR,MDSF,PGTM,PRCP,SNOW,SNWD,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-01-01,9.84,,,,,,0,0,0,290,270,21,27.1,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-01-02,10.07,,,,,,0.31,0,0,50,60,16.1,19,1,,,1,,,1,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-01-03,13.42,,,,,,0.46,0,0,60,50,21,25.9,1,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-01-04,17.67,,,,,,0,0,0,290,270,29.1,40.9,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-01-05,17.67,,,,,,0,0,0,260,280,31.1,36.9,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-01-06,8.72,,,,,,0.03,1.1,1.2,330,310,17,25.1,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-01-07,16.11,,,,,,0.22,8.2,0,340,350,29.1,35.1,1,,,,,,1,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-01-08,18.34,,,,,,0,0,7.9,320,310,29.1,35.1,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-01-09,11.18,,,,,,0,0,7.1,240,300,21,25.1,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-01-10,7.83,,,,,,0,0,5.9,170,180,25.1,30,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-01-11,11.63,,,,,,0.46,0,1.2,210,210,23.9,32,1,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-01-12,11.41,,,,,,0.1,0,1.2,230,220,18.1,23,1,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-01-13,16.78,,,,,,0,0,0,320,320,29.1,35.1,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-01-14,5.82,,,,,,0.15,1.8,0,10,10,14.1,15,1,,,,,,1,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-01-15,8.28,,,,,,0,0,2,360,350,14.1,19,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-01-16,6.71,,,,,,0,0,0,240,240,13,16.1,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-01-17,7.38,,,,,,0.59,0,0,240,240,15,18.1,1,,,,,,1,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-01-18,10.74,,,,,,0.09,0,0,20,40,16.1,21,1,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-01-19,8.5,,,,,,0,0,0,320,320,16.1,19,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-01-20,5.59,,,,,,0.08,0,0,40,60,12.1,14.1,1,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-01-21,8.5,,,,,,0,0,0,250,250,14.1,17,1,1,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-01-22,8.95,,,,,,0.01,0,0,60,80,28,34,1,1,,,,,1,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-01-23,25.05,,,,,,0.84,0,0,50,50,36.9,47,1,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-01-24,21.7,,,,,,1.22,0,0,40,50,40,52.1,1,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-01-25,14.76,,,,,,0,0,0,310,300,29.1,36.9,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-01-26,14.76,,,,,,0.03,0,0,290,290,35.1,42.9,1,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-01-27,20.8,,,,,,0,0,0,260,260,29.1,36.9,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-01-28,17.67,,,,,,0,0,0,250,250,28,32,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-01-29,11.63,,,,,,0,0,0,270,270,21.9,28,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-01-30,12.53,,,,,,0,0,0,310,310,23,28,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-01-31,6.26,,,,,,0.05,0.6,0,90,320,14.1,19,1,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-02-01,12.53,,,,,,0,0,0,270,270,21.9,29.1,1,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-02-02,11.86,,,,,,0,0,0,290,290,25.1,32,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-02-03,13.2,,,,,,0,0,0,310,280,29.1,35.1,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-02-04,14.99,,,,,,0,0,0,320,290,30,36.9,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-02-05,12.97,,,,,,0,0,0,210,210,25.1,29.1,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-02-06,10.74,,,,,,0,0,0,300,290,21.9,29.1,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-02-07,6.93,,,,,,0.1,0,0,30,30,16.1,18.1,1,,,,,,1,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-02-08,8.72,,,,,,0,0,0,360,350,19.9,23,1,,,,,,1,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-02-09,23.04,,,,,,0.74,8.3,1.2,310,300,38,48.1,1,,,1,,,1,1,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-02-10,16.11,,,,,,0,0,7.9,270,270,23.9,32,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-02-11,6.93,,,,,,0,0,5.9,210,210,16.1,18.1,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-02-12,10.74,,,,,,0.4,0.1,5.1,60,330,21,23.9,1,,,1,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-02-13,25.72,,,,,,0,0,3.9,300,300,44.1,62,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-02-14,11.41,,,,,,0,0,3.1,310,330,21,27.1,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-02-15,10.74,,,,,,0,0,2,300,310,30,38.9,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-02-16,22.15,,,,,,0,0,0,320,330,30,36.9,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-02-17,14.54,,,,,,0,0,0,320,320,25.9,36.9,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-02-18,7.16,,,,,,0,0,0,220,220,15,19,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-02-19,11.41,,,,,,0,0,0,290,300,23,29.1,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-02-20,13.2,,,,,,0,0,0,40,40,21.9,27.1,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-02-21,8.5,,,,,,0,0,0,210,,12.1,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-02-22,5.82,,,,,,0,0,0,170,,10.1,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-02-23,5.37,,,,,,0,0,0,200,200,16.1,19.9,1,1,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-02-24,11.18,,,,,,0,0,0,180,180,25.9,33.1,1,1,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-02-25,11.86,,,,,,0.34,0,0,320,290,28,36.9,1,1,1,,,,1,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2017-02-26,18.57,,,,,,0,0,0,310,300,29.1,38,,,,,,,,,
